country,title,desc,pubdate,url,lat,lng
,Nigerian finds suitor via radio appeal,A woman who went on radio to appeal for a husband in the northern Nigerian city of Kano has found a suitor a journalist tells the BBC.,Thu 18 Jun 2015 23:06:23 GMT,http://www.bbc.co.uk/news/world-africa-33187099,None,None
,Most kangaroos are 'left-handed',Scientists report that wild kangaroos tend to favour their left hands in common tasks - the first example of non-human species-wide handedness.,Thu 18 Jun 2015 21:44:53 GMT,http://www.bbc.co.uk/news/science-environment-33169547,None,None
,Fitbit shares soar on market debut,Shares in the wearable technology maker Fitbit soar on its first day of trading on the New York Stock Exchange.,Thu 18 Jun 2015 20:32:46 GMT,http://www.bbc.co.uk/news/business-33172222,None,None
,Nasdaq index closes at record high,The tech-heavy Nasdaq index closed at a record high on Thursday with the Dow Jones and the S&amp;P also closing sharply higher.,Thu 18 Jun 2015 20:27:32 GMT,http://www.bbc.co.uk/news/business-33186707,None,None
,Huge fine for AT&amp;T over speed brakes,US telecoms company AT&amp;T faces a $100m (£63m) fine for slowing down the internet speeds of millions of customers on unlimited data plans without informing them.,Thu 18 Jun 2015 17:37:20 GMT,http://www.bbc.co.uk/news/technology-33183368,None,None
,Battery-swap electric scooter debuts,An electric scooter with swappable batteries is to go on sale in Taiwan priced $4140 (£2600).,Thu 18 Jun 2015 12:27:35 GMT,http://www.bbc.co.uk/news/technology-33183031,None,None
,Critics savage Fifty Shades rewrite,Critics savage EL James's rewrite of her erotic bestseller Fifty Shades of Grey with one accusing it of rapturous self-regard.,Thu 18 Jun 2015 16:46:29 GMT,http://www.bbc.co.uk/news/entertainment-arts-33191130,None,None
,Tommy Chong treated for cancer,Tommy Chong - one half of the 1970s comedy duo Cheech and Chong - reveals he has rectal cancer.,Thu 18 Jun 2015 10:22:58 GMT,http://www.bbc.co.uk/news/entertainment-arts-33180782,None,None
,Pope makes plea to save the planet,Pope Francis has blamed human selfishness for global warming in his long-awaited encyclical calling for action on climate change.,Thu 18 Jun 2015 14:42:43 GMT,http://www.bbc.co.uk/news/world-europe-33182065,None,None
,Happy memories 'perk up' stressed mice,Neuroscientists find that artificially stimulating a positive memory can cause mice to snap out of depression-like behaviour.,Thu 18 Jun 2015 11:28:56 GMT,http://www.bbc.co.uk/news/science-environment-33169548,None,None
